Posted Date,Reference Number,Payee,Address,Amount
09/19/2024,24493984263028244985950,"TOKYO TERIYAKI ASTORIA OR","ASTORIA       OR ",-24.60
09/19/2024,24692164263105322474178,"SQ *FORT GEORGE BREWERY AAstoria OR","Astoria       OR ",-9.38
09/19/2024,24692164263105311069310,"STARBUCKS 800-782-7282 800-782-7282 WA","800-782-7282  WA ",-25.00
09/19/2024,24692164263105311069302,"STARBUCKS 800-782-7282 800-782-7282 WA","800-782-7282  WA ",-25.00
09/19/2024,24801974262092996195381,"BAY BREEZE BOARDING AND 503-861-9817 OR","503-861-9817  OR ",-110.00
09/19/2024,24692164262105043883799,"SQ *MARK SPENCER HOTEL Portland OR","Portland      OR ",-7.50
09/19/2024,24692164262104782637276,"TST*THAI PEACOCK Portland OR","Portland      OR ",-79.00
09/18/2024,24036384261071515068543,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-9.99
09/18/2024,24116414261067503474121,"PAYPAL *ELSEVIERINC 36734402-935-7733 MO","402-935-7733  MO ",-46.89
09/18/2024,24692164261104019733857,"Spectrum 855-707-7328 MO","855-707-7328  MO ",-99.99
09/17/2024,24036384260071482636281,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-8.99
09/17/2024,24204294261000537202084,"Peacock 7E461 Premium 212-6640138 NY","212-6640138   NY ",-7.99
09/16/2024,24269794260000959179853,"SAHARA PIZZA - ASTORIA- ASTORIA OR","ASTORIA       OR ",-45.55
09/16/2024,24801974259089778531531,"BUOY BEER COMPANY ASTORIA OR","ASTORIA       OR ",-6.83
09/16/2024,24064664258000027202642,"ASTORIAANIMALHOSPITAL 188-85795668 OR","188-85795668  OR ",-230.36
09/16/2024,24064664258000025405593,"ACTBLUE* HARRIS.VICTOR HTTPSSECURE.AMA","HTTPSSECURE.A MA ",-37.06
09/14/2024,24801974257087717710176,"BUOY BEER COMPANY ASTORIA OR","ASTORIA       OR ",-17.08
09/14/2024,24036384257071342744866,"PAYPAL *HULU 402-935-7733 CA","402-935-7733  CA ",-14.00
09/13/2024,24692164257100223748638,"TST*COASTAL SMASH 1 - OR Astoria OR","Astoria       OR ",-35.99
09/13/2024,24231684256086638279648,"SAFEWAY #2627 ASTORIA OR","ASTORIA       OR ",-29.15
09/13/2024,24036294256714832528446,"HELLOFRESH 347-200-0291 NY","347-200-0291  NY ",-90.91
